gene,n_variants,n_observations,mean_fs,mode,weight,weight_prev,delta,w_shrunk_k2,w_shrunk_k4
AKT1,1.0,1.0,0.3471491228070175,GOF,0.3471,0.3471491228070175,-0.0,0.5587666666666666,0.6011
MTOR,1.0,1.0,0.9292395366604036,GOF,0.9292,0.5058698247521667,0.4233,0.7528,0.71752
PIK3CA,19.0,31.0,0.6645905266973159,GOF,0.6646,0.6645905266973158,0.0,0.6646,0.6646
PIK3CB,1.0,1.0,0.2570585341859321,GOF,0.2571,0.5058698247521667,-0.2488,0.5287666666666667,0.5831
PIK3R1,5.0,5.0,0.5868711834835707,LOF,0.5869,0.5868711834835708,0.0,0.5889650246305419,0.5901122605363984
PIK3R2,1.0,1.0,0.2900520532099479,GOF,0.2901,0.5058698247521667,-0.2158,0.5397666666666666,0.5897
PTEN,11.0,13.0,0.6489285821922623,LOF,0.6489,0.6489285821922627,-0.0,0.640473474801061,0.6342940229885057
RICTOR,1.0,1.0,0.1368790829532848,GOF,0.1369,0.5058698247521667,-0.369,0.4886999999999999,0.5590599999999999
RPTOR,2.0,2.0,0.791464616597674,GOF,0.7915,0.5058698247521667,0.2856,0.72805,0.7069
STK11,9.0,9.0,0.5337033885715057,LOF,0.5337,0.5337033885715057,-0.0,0.5446868338557992,0.5522931034482758
TSC1,4.0,4.0,0.5885444926749864,LOF,0.5885,0.5885444926749864,-0.0,0.5903758620689655,0.5913137931034482
TSC2,1.0,1.0,0.4272274488101826,LOF,0.4272,0.5895119117305814,-0.1623,0.5384850574712643,0.5607420689655171
RPS6KB1,0.0,0.0,,GOF,0.6,0.5058698247521667,0.0941,0.6646,0.6646
INPP4B,0.0,0.0,,LOF,0.6,0.5895119117305814,0.0105,0.5941275862068964,0.5941275862068964
