Level,Feature,Endpoint,Altered patients,Interaction HR,CI low,CI high,P,q (Benjamini–Hochberg)
Pathway,PI3K,OS,58,2.71,1.4,5.27,0.00318,0.0286
Pathway,PI3K,PFS,58,2.03,1.11,3.73,0.02244,0.202
Pathway,HIPPO,PFS,13,1.89,0.56,6.32,0.30345,0.9296
Pathway,NRF2,OS,14,0.56,0.16,1.92,0.35535,0.994
Pathway,HIPPO,OS,13,1.61,0.4,6.41,0.4999,0.994
Pathway,NRF2,PFS,14,1.43,0.43,4.72,0.55666,0.9296
Pathway,WNT,OS,31,1.27,0.56,2.92,0.56677,0.994
Pathway,WNT,PFS,31,0.82,0.37,1.82,0.62549,0.9296
Pathway,TP53,PFS,120,0.92,0.55,1.55,0.76009,0.9296
Pathway,TP53,OS,120,1.08,0.62,1.87,0.7898,0.994
Pathway,NOTCH,PFS,27,1.13,0.46,2.72,0.79329,0.9296
Pathway,Cell cycle,OS,44,1.09,0.52,2.26,0.82664,0.994
Pathway,TGF-β,PFS,38,1.1,0.47,2.54,0.82954,0.9296
Pathway,TGF-β,OS,38,1.08,0.46,2.57,0.85311,0.994
Pathway,RTK–RAS,PFS,131,0.97,0.58,1.62,0.90346,0.9296
Pathway,Cell cycle,PFS,44,1.03,0.52,2.04,0.92959,0.9296
Pathway,NOTCH,OS,27,1.01,0.41,2.5,0.98451,0.994
Pathway,RTK–RAS,OS,131,1.0,0.58,1.74,0.99405,0.994
Gene,ARID2,OS,18,0.19,0.06,0.67,0.00962,0.1925
Gene,KMT2C,OS,12,5.77,1.19,27.91,0.02939,0.2391
Gene,KMT2C,PFS,12,4.44,1.14,17.32,0.03159,0.6317
Gene,IDH1,OS,12,0.18,0.04,0.94,0.042,0.2391
Gene,ATM,OS,13,8.48,1.02,70.45,0.04781,0.2391
Gene,FGFR2,PFS,12,0.31,0.08,1.2,0.08984,0.6662
Gene,ARID1A,PFS,26,0.45,0.17,1.19,0.10659,0.6662
Gene,STK11,OS,14,2.94,0.77,11.2,0.11374,0.4481
Gene,MDM2,PFS,10,0.38,0.11,1.35,0.13325,0.6662
Gene,ARID1A,OS,26,0.47,0.18,1.26,0.13444,0.4481
Gene,TNFRSF14,PFS,30,1.66,0.71,3.89,0.24593,0.7024
Gene,RBM10,OS,12,0.5,0.15,1.71,0.27245,0.7784
Gene,ATM,PFS,13,1.96,0.57,6.7,0.28509,0.7024
Gene,LRP1B,PFS,27,0.63,0.26,1.54,0.309,0.7024
Gene,RBM10,PFS,12,0.57,0.18,1.83,0.3439,0.7024
Gene,ERBB2,PFS,16,1.64,0.58,4.67,0.35384,0.7024
Gene,LRP1B,OS,27,0.65,0.26,1.65,0.36505,0.9092
Gene,ARID2,PFS,18,0.6,0.19,1.89,0.38096,0.7024
Gene,IDH1,PFS,12,0.5,0.1,2.41,0.3863,0.7024
Gene,CDKN2B,OS,14,1.76,0.45,6.84,0.41525,0.9092
Gene,APC,OS,13,1.48,0.44,5.04,0.52794,0.9092
Gene,TP53,PFS,101,0.87,0.51,1.48,0.59591,0.9896
Gene,FGFR2,OS,12,0.73,0.18,3.0,0.66132,0.9092
Gene,CTNNB1,PFS,11,0.75,0.19,2.89,0.67103,0.9896
Gene,CDKN2A,PFS,28,1.19,0.5,2.86,0.69641,0.9896
Gene,CDKN2A,OS,28,1.2,0.47,3.08,0.70453,0.9092
Gene,TP53,OS,101,0.9,0.51,1.58,0.70753,0.9092
Gene,KRAS,OS,47,0.88,0.44,1.77,0.71774,0.9092
Gene,APC,PFS,13,1.2,0.37,3.86,0.76482,0.9896
Gene,ERBB2,OS,16,1.22,0.33,4.46,0.76644,0.9092
Gene,SMAD4,OS,30,1.12,0.45,2.78,0.80021,0.9092
Gene,TNFRSF14,OS,30,1.11,0.44,2.8,0.81805,0.9092
Gene,ERBB2 (amplification),OS,10,1.2,0.26,5.5,0.81829,0.9092
Gene,CDKN2B,PFS,14,0.93,0.28,3.11,0.90038,0.9896
Gene,SMAD4,PFS,30,1.05,0.44,2.53,0.90942,0.9896
Gene,CTNNB1,OS,11,1.07,0.27,4.26,0.92505,0.9717
Gene,ERBB2 (amplification),PFS,10,1.05,0.29,3.83,0.94019,0.9896
Gene,MDM2,OS,10,1.02,0.26,3.98,0.9717,0.9717
Gene,KRAS,PFS,47,0.99,0.52,1.91,0.97954,0.9896
Gene,STK11,PFS,14,0.99,0.3,3.26,0.98963,0.9896
