Cohort,N (GAP / GC),Characteristic,GAP arm,GC arm,P value
"Index (Yonsei, n=287)",198 / 89,"Age, years, median (range)",63.8 (35–84),68.3 (25–84),<0.001
"Index (Yonsei, n=287)",198 / 89,"Tumour mutational burden, mutations/Mb, median (range)",6.7 (0–39),7.2 (0–15),0.663
"Index (Yonsei, n=287)",198 / 89,Sex,,,0.714
"Index (Yonsei, n=287)",198 / 89,  Female,85 (42.9),41 (46.1),
"Index (Yonsei, n=287)",198 / 89,  Male,113 (57.1),48 (53.9),
"Index (Yonsei, n=287)",198 / 89,Stage,,,1.000
"Index (Yonsei, n=287)",198 / 89,  Locally advanced,6 (3.0),2 (2.2),
"Index (Yonsei, n=287)",198 / 89,  Metastatic,192 (97.0),87 (97.8),
"Index (Yonsei, n=287)",198 / 89,Anatomical site,,,0.242
"Index (Yonsei, n=287)",198 / 89,  Extrahepatic,54 (27.3),29 (32.6),
"Index (Yonsei, n=287)",198 / 89,  Gallbladder,56 (28.3),17 (19.1),
"Index (Yonsei, n=287)",198 / 89,  Intrahepatic,88 (44.4),43 (48.3),
"Index (Yonsei, n=287)",198 / 89,Histological differentiation,,,0.910
"Index (Yonsei, n=287)",198 / 89,  Moderately differentiated,100 (50.5),47 (52.8),
"Index (Yonsei, n=287)",198 / 89,  Poorly differentiated,67 (33.8),31 (34.8),
"Index (Yonsei, n=287)",198 / 89,  Well differentiated,11 (5.6),4 (4.5),
"Index (Yonsei, n=287)",198 / 89,PI3K pathway activated,36 (18.2),22 (24.7),0.264
"Validation (CHA, n=167)",103 / 64,PI3K pathway activated,27 (26.2),25 (39.1),0.116
"Validation (CHA, n=167)",103 / 64,"Age, sex, stage, site, differentiation",not available,not available,
