gene,n_alt,endpoint,abs_z,p_asymptotic,p_perm_marginal,p_bonferroni,q_bh,perm_fwer_p_maxT,perm_fwer_p_maxT_mcse,perm_fwer_p_minP,perm_fwer_p_minP_mcse,sens_markerperm_maxT,sens_markerperm_minP,abs_z_ipw,sens_ipw_maxT,sens_ipw_minP,B_primary,B_sensitivity
APC,13,OS,0.6312,0.5279360582563346,0.6765447031549239,1.0,0.9092454934344912,1.0,1e-08,1.0,1e-08,1.0,1.0,1.1539,0.999000499750125,1.0,10000,2000
ARID1A,26,OS,1.4967,0.13446374122130042,0.1575,1.0,0.44821247073766807,0.9764023597640236,0.0015179193526426186,0.9613038696130387,0.0019286974848336527,0.9575212393803099,0.9460269865067467,1.8645,0.8465767116441779,0.7876061969015492,10000,2000
ARID2,18,OS,2.589,0.009624423353183727,0.023802319717599597,0.19248846706367453,0.19248846706367453,0.3023697630236976,0.004592845408161378,0.3678632136786321,0.004822238792310696,0.30634682658670664,0.28285857071464265,2.8059,0.20689655172413793,0.2798600699650175,10000,2000
ATM,13,OS,1.979,0.04781494456577706,0.05252122864031869,0.9562988913155412,0.2390747228288853,0.7525247475252475,0.004315451910140004,0.6365363463653635,0.004809967007383704,0.7226386806596702,0.7106446776611695,2.3395,0.49775112443778113,0.34132933533233384,10000,2000
CDKN2A,28,OS,0.3792,0.7045254628841395,0.7239,1.0,0.9092454934344912,1.0,1e-08,1.0,1e-08,1.0,1.0,0.6299,1.0,1.0,10000,2000
CDKN2B,14,OS,0.8147,0.41524457097608414,0.5071219315082331,1.0,0.9092454934344912,1.0,1e-08,1.0,1e-08,1.0,1.0,0.9639,1.0,1.0,10000,2000
CTNNB1,11,OS,0.0941,0.92505245886655,0.9265149989933561,1.0,0.971689785975203,1.0,1e-08,1.0,1e-08,1.0,1.0,0.5784,1.0,1.0,10000,2000
ERBB2,16,OS,0.297,0.7664808245939057,0.7631659678903774,1.0,0.9092454934344912,1.0,1e-08,1.0,1e-08,1.0,1.0,0.1915,1.0,1.0,10000,2000
ERBB2_AMP,10,OS,0.2297,0.8183209440910422,0.7909741216074059,1.0,0.9092454934344912,1.0,1e-08,1.0,1e-08,1.0,1.0,0.309,1.0,1.0,10000,2000
FGFR2,12,OS,0.4381,0.6613141425006444,0.6600020506510818,1.0,0.9092454934344912,1.0,1e-08,1.0,1e-08,1.0,1.0,0.6385,1.0,1.0,10000,2000
IDH1,12,OS,2.0335,0.041999042259636285,0.07143600958033948,0.8399808451927258,0.2390747228288853,0.714028597140286,0.004518758232149195,0.75002499750025,0.004329982686166308,0.6851574212893553,0.7496251874062968,2.321,0.5092453773113443,0.5617191404297851,10000,2000
KMT2C,12,OS,2.1782,0.029387639473331867,0.08709317651830072,0.5877527894666373,0.2390747228288853,0.6003399660033997,0.004898284303941908,0.817918208179182,0.0038591192377035754,0.5867066466766616,0.6611694152923538,2.1038,0.6811594202898551,0.8630684657671165,10000,2000
