pathway,n_alt,endpoint,abs_z,p_asymptotic,p_perm_marginal,p_bonferroni,q_bh,perm_fwer_p_maxT,perm_fwer_p_maxT_mcse,perm_fwer_p_minP,perm_fwer_p_minP_mcse,sens_markerperm_maxT,sens_markerperm_minP,abs_z_ipw,sens_ipw_maxT,sens_ipw_minP,B_primary,B_sensitivity
Cell_cycle,44,OS,0.219,0.8266401304503963,0.8296170382961704,1.0,0.9940460485005777,1.0,1e-08,1.0,1e-08,1.0,1.0,0.3495,1.0,1.0,10000,2000
HIPPO,13,OS,0.6747,0.49989762621027534,0.5456762524133726,1.0,0.9940460485005777,0.9988001199880012,0.00034618496500506536,0.9987001299870013,0.000360302699261052,0.999000499750125,0.9995002498750625,0.5751,1.0,1.0,10000,2000
NOTCH,27,OS,0.0194,0.9845063172804029,0.9863986398639863,1.0,0.9940460485005777,1.0,1e-08,1.0,1e-08,1.0,1.0,0.2767,1.0,1.0,10000,2000
NRF2,14,OS,0.9241,0.35543813285578874,0.5603179394305262,1.0,0.9940460485005777,0.991000899910009,0.0009443577864115579,0.9992000799920008,0.0002827154286522093,0.9880059970014993,0.9890054972513743,0.2633,1.0,1.0,10000,2000
PI3K,58,OS,2.9497,0.0031809980569387983,0.0051994800519948,0.028628982512449185,0.028628982512449185,0.0745925407459254,0.002627327417947616,0.045295470452954706,0.0020795141454051287,0.050974512743628186,0.027486256871564217,3.3353,0.030484757621189407,0.017491254372813594,10000,2000
RTK_RAS,131,OS,0.0075,0.9940460485005777,0.9937006299370063,1.0,0.9940460485005777,1.0,1e-08,1.0,1e-08,1.0,1.0,0.5248,1.0,0.9995002498750625,10000,2000
TGFB,38,OS,0.1852,0.8531082339672893,0.8595140485951405,1.0,0.9940460485005777,1.0,1e-08,1.0,1e-08,1.0,1.0,0.0873,1.0,1.0,10000,2000
TP53,120,OS,0.2666,0.7898007272918804,0.7944205579442056,1.0,0.9940460485005777,1.0,1e-08,1.0,1e-08,1.0,1.0,0.6604,1.0,0.9985007496251874,10000,2000
WNT,31,OS,0.5728,0.5667707616625527,0.6180381961803819,1.0,0.9940460485005777,0.9997000299970003,0.00017317044233848054,0.9999000099990001,9.999000099990831e-05,0.9995002498750625,0.9995002498750625,0.9516,0.991504247876062,0.991504247876062,10000,2000
Cell_cycle,44,PFS,0.0884,0.9295849567174844,0.9408059194080592,1.0,0.9295849567174844,1.0,1e-08,1.0,1e-08,1.0,1.0,0.4932,0.9995002498750625,1.0,10000,2000
HIPPO,13,PFS,1.0291,0.3034456159298853,0.27957204279572045,1.0,0.9295849567174844,0.9767023297670233,0.0015084723661602873,0.9446055394460554,0.002287485831516385,0.9705147426286856,0.9780109945027486,0.8197,0.9975012493753124,0.9910044977511244,10000,2000
NOTCH,27,PFS,0.262,0.7932869046556303,0.8365163483651635,1.0,0.9295849567174844,1.0,1e-08,1.0,1e-08,1.0,1.0,0.18,1.0,1.0,10000,2000
NRF2,14,PFS,0.5877,0.5567222582487921,0.5553444655534446,1.0,0.9295849567174844,0.9996000399960004,0.00019995000274937636,0.9991000899910009,0.00029984999099130245,0.9995002498750625,0.9995002498750625,1.3524,0.8950524737631185,0.8120939530234883,10000,2000
PI3K,58,PFS,2.2826,0.022453670225935564,0.0156984301569843,0.20208303203342007,0.2020830320334201,0.29327067293270676,0.004552614472259913,0.13208679132086792,0.0033858510138431285,0.22638680659670166,0.20039980009995004,2.7132,0.11894052973513243,0.030484757621189407,10000,2000
RTK_RAS,131,PFS,0.1213,0.9034627433858895,0.9023097690230977,1.0,0.9295849567174844,1.0,1e-08,1.0,1e-08,1.0,1.0,0.0016,1.0,1.0,10000,2000
TGFB,38,PFS,0.2153,0.829540115935595,0.8636136386361364,1.0,0.9295849567174844,1.0,1e-08,1.0,1e-08,1.0,1.0,0.3287,1.0,1.0,10000,2000
TP53,120,PFS,0.3054,0.7600982387804815,0.7702229777022298,1.0,0.9295849567174844,1.0,1e-08,1.0,1e-08,1.0,1.0,0.2204,1.0,1.0,10000,2000
WNT,31,PFS,0.488,0.6255734912376851,0.7241275872412759,1.0,0.9295849567174844,1.0,1e-08,1.0,1e-08,1.0,1.0,0.3074,1.0,1.0,10000,2000
