analysis,spec,score,weighting,n,HR_interaction,CI_low,CI_high,p,note
primary binary,A_full,PI3K,none,287,3.222788600716128,1.6016909656044251,6.484625678703474,0.001036449340817195,
primary binary + IPTW,A_full,PI3K,sw,287,3.693662519559997,1.7735058205212368,7.692753331022368,0.00048191066624778486,
(c) shrinkage default,A_full,PI3K_cont,none,287,7.941950141205062,2.4592842861934288,25.647531844728796,0.0005312800417005026,
(c) shrinkage default + IPTW,A_full,PI3K_cont,sw,287,10.125600701216595,2.924642562103325,35.056519688594946,0.00025853914495681376,
(c) full/unshrunk,A_full,PI3K_cont_full,none,287,4.372067625707708,1.3495633845322454,14.163821827743673,0.013900605816622724,
(c) full/unshrunk + IPTW,A_full,PI3K_cont_full,sw,287,4.588461574120509,1.3705380193458523,15.36183551276408,0.013464813845606176,
(c) shrinkage k=2,A_full,PI3K_cont_k2,none,287,5.539638189841582,1.873896334224843,16.37635482490314,0.0019643355492917174,
(c) shrinkage k=2 + IPTW,A_full,PI3K_cont_k2,sw,287,6.622469052501756,2.0580584330650744,21.30993738891416,0.0015223521394308675,
(c) shrinkage k=4,A_full,PI3K_cont_k4,none,287,5.67875554744963,1.9677433730287404,16.38845034861105,0.0013193948154290225,
(c) shrinkage k=4 + IPTW,A_full,PI3K_cont_k4,sw,287,6.908506280664028,2.1849164765954705,21.84406568453504,0.000999529992263728,
(d) equal gene weights,A_full,PI3K_equal,none,287,9.968067526437432,2.7475187993049364,36.16440048990858,0.00047028709055703415,
(d) equal gene weights + IPTW,A_full,PI3K_equal,sw,287,13.174154924182954,3.26819976805164,53.105186428013866,0.00028898006319483553,
(b) LOF(truncating)-only label,A_full,PI3K_LOFonly,none,287,3.5861157855424803,1.5139730991248221,8.494355966265868,0.003700722997647445,
(b) LOF(truncating)-only label + IPTW,A_full,PI3K_LOFonly,sw,287,4.121899448060356,1.7861386390200855,9.512170381825106,0.0009019184910418631,
(b) GOF(oncogenic)-only label,A_full,PI3K_GOFonly,none,287,2.2148808095670596,0.8640936263665778,5.677274835617489,0.09776207150232626,
(b) GOF(oncogenic)-only label + IPTW,A_full,PI3K_GOFonly,sw,287,2.463576404979504,0.8571129250467442,7.080990760745722,0.09418227179061286,
primary binary,B_reduced,PI3K,none,287,2.7290339200186033,1.3879251419037122,5.36601428402454,0.0036118861932312647,
primary binary + IPTW,B_reduced,PI3K,sw,287,3.2252898158891012,1.5882772756100263,6.549545571306217,0.0011950929786860621,
(c) shrinkage default,B_reduced,PI3K_cont,none,287,5.910582881511812,1.920492195764397,18.190644083984733,0.0019500792548567015,
(c) shrinkage default + IPTW,B_reduced,PI3K_cont,sw,287,7.87321605078787,2.315009916266845,26.776356570577477,0.0009530186227610302,
(c) full/unshrunk,B_reduced,PI3K_cont_full,none,287,3.607203969278265,1.1828572404670161,11.000414953574191,0.024123351329522116,
(c) full/unshrunk + IPTW,B_reduced,PI3K_cont_full,sw,287,3.981024315765379,1.1695266957408055,13.551255102113217,0.02706838261800004,
(c) shrinkage k=2,B_reduced,PI3K_cont_k2,none,287,4.3813865207991025,1.5517726433769192,12.37072191378831,0.005276235870042677,
(c) shrinkage k=2 + IPTW,B_reduced,PI3K_cont_k2,sw,287,5.385017223221268,1.7021060966001262,17.036781991623553,0.004169407163438548,
(c) shrinkage k=4,B_reduced,PI3K_cont_k4,none,287,4.497320300048705,1.626406324484406,12.435939025041648,0.0037650697949545343,
(c) shrinkage k=4 + IPTW,B_reduced,PI3K_cont_k4,sw,287,5.612795511878234,1.8107552529398578,17.397974357391966,0.0028024583162849772,
(d) equal gene weights,B_reduced,PI3K_equal,none,287,7.411079624172334,2.141841477358655,25.6434016132489,0.001563698139175846,
(d) equal gene weights + IPTW,B_reduced,PI3K_equal,sw,287,10.160756731645348,2.601661145729482,39.68271484130129,0.0008514317172945774,
(b) LOF(truncating)-only label,B_reduced,PI3K_LOFonly,none,287,3.1118383575386392,1.3453496569558479,7.197785284577937,0.007970127530299336,
(b) LOF(truncating)-only label + IPTW,B_reduced,PI3K_LOFonly,sw,287,3.7446769422984976,1.6338754768748658,8.58241989714127,0.001807456732010585,
(b) GOF(oncogenic)-only label,B_reduced,PI3K_GOFonly,none,287,1.9956365354791623,0.8141063487772124,4.891947087405823,0.13094230094590864,
(b) GOF(oncogenic)-only label + IPTW,B_reduced,PI3K_GOFonly,sw,287,2.1822319474116334,0.8078208384975734,5.895040144248859,0.12379131926938812,
(a) drop top-1 influential,A_full,PI3K,none,286,3.1497741807191133,1.5461625048180458,6.4165812834093305,0.0015760628041953252,max|dfbeta|=0.1608; full-data coef=1.1702
(a) drop top-3 influential,A_full,PI3K,none,284,3.066391453111772,1.5048259970856643,6.24840118520471,0.0020339365741639088,max|dfbeta|=0.1608; full-data coef=1.1702
(a) drop top-5 influential,A_full,PI3K,none,282,3.0366498771956363,1.4777264555819656,6.2401552343060125,0.002506001169858909,max|dfbeta|=0.1608; full-data coef=1.1702
(a) drop top-10 influential,A_full,PI3K,none,277,2.8824164049528456,1.3969294532478929,5.9475618559149455,0.0041772781643258285,max|dfbeta|=0.1608; full-data coef=1.1702
(a) drop top-1 influential,A_full,PI3K_cont,none,286,7.881684608121342,2.2517786385447582,27.587504028390356,0.0012385428862552912,max|dfbeta|=0.2771; full-data coef=2.0722
(a) drop top-3 influential,A_full,PI3K_cont,none,284,7.54962026450553,2.1225044762525163,26.853543432269106,0.0017936053146110655,max|dfbeta|=0.2771; full-data coef=2.0722
